Inv. Steve 5031	Pot à sucre « Calabre »	Manufacture royale de porcelaine de Sèvres, 1758-1759.	Dimensions : haut. (sans couvercle): 0,050 m ; haut. (avec couvercle) : 0,070 m ; diam. : 0,060 m.
Inv. Steve 3458	Gobelet « Bouillard »	Manufacture royale de porcelaine de Sèvres, 1759-1760.	Dimensions : haut. : 0,070 m ; diam. : 0,070 m ; long. : 0,092 m. 
Inv. Steve 3429	Soucoupe	Manufacture royale de porcelaine de Sèvres, 1762.	Dimensions : haut. : 0,033 m ; diam. : 0,135 m.
Inv. Steve 3452	Gobelet « Bouillard »	Manufacture royale de porcelaine de Sèvres, vers 1757-1761.	Dimensions : haut. : 0,060 m ; diam. : 0,070 m ; long. : 0,092 m. 
Inv. Steve 3451	Gobelet « Bouillard »	Manufacture royale de porcelaine de Sèvres, 1761.	Dimensions : haut. : 0,060 m ; diam. : 0,070 m ; long. : 0,092 m. 
Inv. Steve 3453	Gobelet « Bouillard »	Manufacture royale de porcelaine de Sèvres, vers 1757-1761.	Dimensions : haut. : 0,060 m ; diam. : 0,070 m ; long. : 0,092 m. 
Inv. Steve 3450	Gobelet « Bouillard »	Manufacture royale de porcelaine de Sèvres, 1759-1760.	Dimensions : haut. : 0,060 m ; diam. : 0,070 m ; long. : 0,092 m. 
Inv. Steve 3447	Soucoupe	Manufacture royale de porcelaine de Sèvres, 1761.	Dimensions : haut. : 0,032 m ; diam. : 0,132 m. 
Inv. Steve 3448	Soucoupe	Manufacture royale de porcelaine de Sèvres, 1761.	Dimensions : haut. : 0,032 m ; diam. : 0,132 m. 
Inv. Steve 3446	Soucoupe	Manufacture royale de porcelaine de Sèvres, vers 1757-1760.	Dimensions : haut. : 0,032 m ; diam. : 0,132 m. 
Inv. Steve 3449	Soucoupe	Manufacture royale de porcelaine de Sèvres, 1759-1760.	Dimensions : haut. : 0,032 m ; diam. : 0,132 m. 
Inv. Steve 3463	Gobelet « Chinois » ( ?)	Manufacture royale de porcelaine de Sèvres, 1759-1760.	Dimensions : haut. : 0,047 m ; diam. : 0,076 m. 
Inv. Steve 4856	Pot à lait « à trois pieds »	Manufacture royale de porcelaine de Sèvres, 1759-1760.	Dimensions : haut. : 0,102 m ; long. : 0,110 m ; larg. : 0,075 m.
Inv. Steve 5037	Pot à sucre « Calabre » 	Manufacture royale de porcelaine de Sèvres, 1759-1760.	Dimensions : haut. : 0,084 m ; diam. : 0,103 m. 
Inv. Steve 1953 Ancien inv. 2018 B	Plateau « losange »	Manufacture royale de porcelaine de Sèvres, 1759-1760.	Dimensions : haut. : 0,028 m ; long. : 0,320 m; larg. : 0,270 m.
Inv. Steve 5383	Théière « Calabre »	Manufacture royale de porcelaine de Sèvres, 1759.	Dimensions : haut. (a. c.) : 0,089 m ; haut. (s. c.) : 0,074 m ; long. : 0,122 m; larg. : 0,064 m.
Inv. Steve 1281	Gobelet « Hébert »	Manufacture royale de porcelaine de Sèvres, 1760.	Dimensions : haut. : 0,060 m ; diam. : 0,075 m ; prof. : 0,095 m.
Inv. Steve 1282	Soucoupe	Manufacture royale de porcelaine de Sèvres, 1760.	Dimensions : haut. : 0,028 m ; diam. : 0,133 m.
Inv. Steve 4743	Gobelet « Hébert »	Manufacture royale de porcelaine de Sèvres, 1760.	Dimensions : haut. : 0,056 m ; diam. : 0,068 m ; prof. : 0,085 m.
Inv. Steve 4742	Soucoupe	Manufacture royale de porcelaine de Sèvres, 1760.	Dimensions : haut. : 0,025 m ; diam. : 0,120 m.
Inv. Steve 4897	Gobelet « litron »	Manufacture royale de porcelaine de Sèvres, 1760.	Dimensions : haut. : 0,045 m ; diam. : 0,050 m ; long. : 0,067 m.
Inv. Steve 5009	Gobelet « Bouillard »	Manufacture royale de porcelaine de Sèvres, 1785.	Dimensions : haut. : 0,039 m ; diam. : 0,048 m ; long. : 0,062 m.
Inv. Steve 5008	Soucoupe	Manufacture royale de porcelaine de Sèvres, 1760.	Dimensions : haut. : 0,020 m ; diam. : 0,092 m.
Inv. Steve 4745	Gobelet « Bouillard »	Manufacture royale de porcelaine de Sèvres, 1760.	Dimensions : haut. : 0,060 m ; diam. : 0,070 m ; prof. : 0,095 m.
Inv. Steve 4774	Soucoupe	Manufacture royale de porcelaine de Sèvres, 1760.	Dimensions : haut. : 0,029 m ; diam. : 0,135 m.
Inv. Steve 4771	Gobelet « Bouillard »	Manufacture royale de porcelaine de Sèvres, 1760.	Dimensions : haut. : 0,060 m ; diam. : 0,070 m ; prof. : 0,095 m.
Inv. Steve 4772	Soucoupe	Manufacture royale de porcelaine de Sèvres, 1760.	Dimensions : haut. : 0,029 m ; diam. : 0,135 m.
Inv. Steve 1280	Gobelet « Bouillard »	Manufacture royale de porcelaine de Sèvres, vers 1760.	Dimensions : haut. : 0,060 m ; diam. : 0,070 m ; prof. : 0,095 m.
Inv. Steve 4776	Soucoupe	Manufacture royale de porcelaine de Sèvres, vers 1760.	Dimensions : haut. : 0,029 m ; diam. : 0,135 m.
Inv. Steve 3444	Gobelet « Calabre »	Manufacture royale de porcelaine de Sèvres, 1760.	Dimensions : haut. : 0,072 m ; diam. : 0,067 m ; long. : 0,088 m.
Inv. Steve 3425 	Soucoupe	Manufacture royale de porcelaine de Sèvres, 1760.	Dimensions : haut. : 0,029 m ; diam. : 0,135 m.
Inv. Steve 4899	Gobelet « Bouillard »	Manufacture royale de porcelaine de Sèvres, vers 1760.	Dimensions : haut. : 0,027 m ; diam. : 0,043 m ; prof. : 0,054 m.
Inv. Steve 4900	Soucoupe	Manufacture royale de porcelaine de Sèvres, vers 1760.	Dimensions : haut. : 0,015 m ; diam. : 0,071 m.
Inv. Steve 4773	Gobelet « couvert »	Manufacture royale de porcelaine de Sèvres, 1760.	Dimensions : haut. : 0,070 m ; diam. : 0,068 m ; prof. : 0,090 m.
Inv. Steve 4770	Plateau « du Roy »	Manufacture royale de porcelaine de Sèvres, 1760.	Dimensions : haut. : 0,020 m ; long. : 0,247 m; larg. : 0,174 m.
Inv. Steve 4750	Pot à sucre « Hébert »	Manufacture royale de porcelaine de Sèvres, 1760.	Dimensions : haut. (s. c.) : 0,055 m ; diam. : 0,66 m.
Inv. Steve 1286	Pot à lait « à trois pieds »	Manufacture royale de porcelaine de Sèvres, 1760 ?	Dimensions : haut. : 0,0 m ; long. : 0, m; larg. : 0, m.
Inv. Steve 1285	Plateau « triangle »	Manufacture royale de porcelaine de Sèvres, vers 1759.	Dimensions : haut. : 0,022 m ; diam. : 0,250 m.
Inv. Steve 4775	Gobelet « couvert »	Manufacture royale de porcelaine de Sèvres, vers 1760.	Dimensions : haut. : 0,060 m ; diam. : 0,058 m ; prof. : 0,080 m.
Inv. Steve 4744	Soucoupe	Manufacture royale de porcelaine de Sèvres, 1760.	Dimensions : haut. : 0,030 m ; diam. : 0,126 m.
Inv. Steve 3317	Pot à sucre « Calabre »	Manufacture royale de porcelaine de Sèvres, 1760. 	Dimensions : haut. : 0,100 m ; diam. : 0,089 m.
Inv. Steve 3465	Gobelet « couvert »	Manufacture royale de porcelaine de Sèvres, 1761.	Dimensions : haut. : 0,060 m ; long. : 0,081 m ; diam. : 0,060 m.
